,Date,Review,Rating
23," November 16, 2015"," Revenge of the Sith is, so Lucas assures us, a 'tragedy'. It might have been wise to have stationed an announcer at every movie house to announce this fact over the PA system since it eluded the audience I saw it with last weekend.",
24," November 16, 2015", Revenge of the Sith is far from a great film but it easily trumps its two predecessors.,
25," November 16, 2015"," The pity is that Lucas and his team couldn't have just manufactured the toys and the ""Making Of"" coffee table books and given the films a miss.",
26," November 16, 2015"," Strong, unrelenting, moving and bracingly exciting, Revenge Of The Sith is a fitting end to a truly great series.",
27," November 16, 2015"," For all the hype, I fear this is a film that only the most uncritical Star Wars fans will truly enjoy.",
28," November 16, 2015", I must say that I did get quite emotional in this.,3.5/5
29," November 16, 2015", I think it is visually exciting. I think there are wonderful things in it but I just missed that innocence of the early films.,3.5/5
30," November 13, 2015", [A] dramatically cogent and highly satisfying finale to the Star Wars saga.,
31," November 13, 2015"," Thankfully, Star Wars: Episode III - Revenge Of The Sith has a good deal to offer besides its cachet as the farewell to a pop culture.",
32," November 13, 2015"," Episode III mainly is what it is -- the climax of a sometimes grand adventure that's more than the sum of its parts, yet much less than it might have been.",
33," September 3, 2010", The bar has been set so low in mainstream Hollywood movies that it's not even worth seriously analyzing this stuff,2.5/4
34," April 29, 2009"," As the finale approached, I just didn't want to leave my seat, because that meant it's all over... supposedly.",
35," October 18, 2008"," Lucas slips up on a few fronts en route, but doesn't disappoint when it counts.",
36," August 20, 2008"," Of course, being best Star Wars film since Empire Strikes Back isn't saying much, when you consider what came between...",
37," August 13, 2008"," A grave and vigorous popular entertainment, a picture that regains and sustains the filmic Force [Lucas] dreamed up a long time ago, in a movie industry that seems far, far away.",
38," July 14, 2007"," This one had the most potential, and in that way it is the most disappointing.",2.5/4
39," June 20, 2007", A fitting capstone on a collection of screen classics for the ages!,3/4
40," October 30, 2006", The only one of the trilogy that actually works as both a good Summer movie and a solid sci-fi movie in its own right.,2.5/4
41," October 24, 2006"," It's a profound movie, and a fine one. I've not even mentioned the visual aspect, which is miles above similar effects pictures, but we would expect that, not the excellence of filmmaking that contains it.",
42," October 3, 2006", full review in Greek,3.5/5
43," September 28, 2006"," The best-looking Star Wars episode of all, if not the most exciting, most imaginative or most affecting.",
44," August 22, 2006", Rich in cityscapes and costumes.,
45," May 12, 2006"," Lucas is a brilliant technician but a poor philosopher, and his lurchingly thought-out rendering of futuristic politics prevents the entire series from achieving the greatness to which it aspires.",
46," December 31, 2005"," .. even though Revenge is a better experience than Phantom Menace or Attack of the Clones, it doesn't add anything that satisfying or compelling to the big picture.",
47," December 15, 2005"," The final third of this dark, brooding epic is utterly mesmerizing, building magnificently to a coda setting up all the events in the original trilogy with an as-to-now (at least in the prequels) unforeseen brilliance",3.5/4
48," December 6, 2005"," For me, Sith succeeds in providing a satisfying ending to the films while also closing a chapter of my own life.",4/5
49," December 6, 2005", It did what I thought was impossible after the previous two films: it made me a Star Wars fan again.,4/5
50," November 4, 2005"," A great Star Wars film and, dare I say, a great film onto itself.",4/4
51," October 7, 2005", a visually delicious film filled with ostensibly crowd pleasing (read boring) lightsaber battles...,C
52," September 26, 2005"," McGregor, Portman, and Christensen have all been brilliant elsewhere but the bonds between their characters are all in the dialogue, never between the lines. (And the less said about the lines themselves, the better.)",
53," July 21, 2005"," As blockbusters go, Revenge of the Sith has some good throwaway entertainment, but there have been better blockbusters with better throwaway entertainment.",2/5
54," July 21, 2005", The best thing about Episode III? Jar Jar Binks is barely in it. ,2.5/4
55," July 7, 2005"," Although the stiff theatrics are part of the design, they're no longer excusable.",2/4
56," July 5, 2005"," What makes this movie work is watching Anakin Skywalker break our hearts, and ultimately serve as a textbook example of how the road to hell is paved with good intentions.",4/5
57," July 5, 2005", In years to come George Lucas's farewell to his STAR WARS series may be considered his finest entry.,9/10
58," June 30, 2005"," Against all odds, the movie becomes more than the sum of its creaky parts, building enough emotional firepower to destroy an entire hard-bitten cynic such as myself.",3/4
59," June 28, 2005", This is the film we yearned for as we sat passively through the shoddy merchandise-oriented Phantom Menace and the dull romantic scenes of Attack of the Clones.,4/5
60," June 25, 2005"," For the 6th time in a row, George Lucas has done it again.",4.5/5
61," June 21, 2005", Why are blinds wipes and Fisher-Price spaceship interiors employed in a 2005 film?,3/5
62," June 18, 2005"," The film works fine as stand-alone entertainment, but does irreparable harm to the series as a whole.",B
63," June 17, 2005", A worthy end.,
64," June 11, 2005", Star Wars was a gamble in 1977. In 2005 Revenge of the Sith is the Empire.,3/5
65," June 7, 2005", Master Lucas Strikes Back!,A-
66," June 7, 2005"," Prepare to be blown away because George Lucas’'s latest space opera is an absolute belter, recalling the old magic of The Empire Strikes Back and banishing forever painful memories of the last two Star Wars prequels.",4/5
67," June 6, 2005", George Lucas better not write a romance novel next because even Fabio couldn't save it. ,
68," June 5, 2005", Episode III hooks up to its sequel of 1977 as neatly as a space station landing dock.,4/5
69," June 4, 2005"," Veering from moments of breathtakingly visualized valor to outright stupidity, Sith is a vast improvement over the previous two outings, but still and all, it's no Star Wars.",3/5
70," June 4, 2005", I am pleased to report that George Lucas has found his way back from the Dark Side.,4/5
71," June 3, 2005"," As popcorn entertainment, strapping in for Star Wars: Episode III is like hooking up with an old friend. Half the enjoyment is simply the idea of the reunion itself.",3/4
72," June 3, 2005", ...it has become impossible to consider these movies apart from their dubious cultural and economic consequences.,C+
73," June 2, 2005"," As with the last two Star Wars movies, Revenge of the Sith is a visual spectacle, trotting out the best special effects Industrial Light and Magic has to offer.",3/4
74," June 2, 2005", ...at once a work of closure and of sustenance.,3.5/4
75," June 1, 2005"," To Star Wars fans everywhere, a celebration of galactic proportions.",4/5
76," May 31, 2005"," Very good story telling, despite lapses into droll dialogue that takes itself too seriously.",B+
77," May 26, 2005"," Not far into the first third of the movie, I didn't think I was going to make it all the way through the percussive nonstop action.",
78," May 26, 2005"," It's a stronger movie than the two previous installments but, as Yoda would say: an out-and-out triumph it is not.",
79," May 25, 2005", ...the brilliant final showdown between Obi-Wan and Anakin for his soul is the moment that takes the Star Wars saga where it needs to go ...,3/4
80," May 25, 2005", So boxed in by having to tie everything into a neat parcel that it feels constrained and is woefully lacking in surprises and dramatic tension.,3.5/5
81," May 25, 2005", Spectacular ... but it never really lifts you up into a new imaginative realm -- it never takes you away. It just keeps blazing at you. ,3/5
82," May 24, 2005"," By golly, he did it!",B+
83," May 24, 2005", Overlooked amid the tired complaints of wooden acting and cornball dialogue is the most inspired filmmaking of Lucas's career.,Full ReviewRead More 
84," May 23, 2005", This film is very heavy on action and that is its saving grace.,B
85," May 23, 2005", (G)ood is seduced by evil and good must ulimately triumph is balance is to be restored and peace secured. Sound familiar? ,B+
86," May 23, 2005", Final installment still far cry from 70s pics.,
87," May 23, 2005"," In spite of the acting horrors who are Christensen and Portman, the ""Star Wars"" series manages to go out on a high note.",7/10
88," May 23, 2005"," Watching it, you realize that Lucas has created his own coup. He has stolen this trilogy back from the brink of disappointment and ended it with an intergalactic bang.",B+
89," May 23, 2005", The final hour ... delivers like Domino's pizza.,2.5/4
90," May 23, 2005", A fitting conclusion to a landmark franchise.,
91," May 22, 2005", What this film really accomplishes is it gives us insight into these characters that lessens their effectiveness in the later episodes.,1/5
92," May 22, 2005", Nominally better than its immediate predecessors thanks to a pervasive atmosphere of catastrophic doom.,C
93," May 22, 2005", ...an enticingly dark and absorbing spectacle that should satisfy the casual Star Wars fanatic who fancies an action-packed package full of emotional promise and prose.,3/4
94," May 22, 2005"," As every fan is well aware, Natalie Portman is destined to reveal her twins, and not the twins we were all hoping to see, if you know what I mean.",A-
95," May 22, 2005"," ...clearly the best of the prequel trio, and for me almost as good as Return of the Jedi. But this is largely because there are no Ewoks involved.",7/10
96," May 22, 2005"," Well done, George. Well done.",4/5
97," May 22, 2005", Easily the best of the prequels...,3/4
98," May 22, 2005"," All in all, this reviewer was satisfied with Star Wars III.",3/5
99," May 22, 2005"," a unique film in the way its primary objective is to certify what we already know, and the pleasure it generates is not in the surprise of what happens, but in how it happens",3.5/4
100," May 22, 2005"," Lucas has woven into the action and effects a relatively thoughtful story about a young man meant for greatness but corrupted by his own fear and confusion, a story more Shakespearean than Arthurian.",3/4
101," May 21, 2005"," Hardly the masterpiece that anxious fanboys have rushed to call it, Sith recovers much of the joy and the gravity that many feared had gone the way of the Ewoks.",3/4
102," May 21, 2005", The good news is that Lucas promises this is the last Star Wars movie. Hallelujah.,
103," May 21, 2005"," We always knew it would end like this, but sheesh!",3.5/5
104," May 21, 2005", One leaves the theater with a 30-year sense of closure and satisfaction,3/4
105," May 21, 2005"," Maybe Revenge of the Sith is the best film in the series because it's the last, and the adventure of a long time ago in a galaxy far, far away returns, inevitably, to the here and now.",3/4
106," May 20, 2005"," This is downright brilliant filmmaking, an awesome spectacle that manages to balance thrills and emotion with a steady hand.",5/5
107," May 20, 2005", Enthralling and stunning. So it comes down to this: Darth Vader had a selfless good reason.,
108," May 20, 2005"," A Vingança dos Sith engrandece toda a saga concebida por George Lucas. Esta é, com o perdão do trocadilho, sua verdadeira Força.",5/5
109," May 20, 2005"," It's exciting, foreboding, grand and important, a part of our culture and identity no matter how loudly cineastes scream bloody murder.",B+
110," May 20, 2005", The prequel trilogy finally becomes what we have all wanted it to be.,3.5/4
111," May 20, 2005"," The action is pretty spectacular, especially the climactic light-saber duel and an all-too-brief sequence in which Yoda leads a Wookiee army into battle. Die-hard fans will be drooling all over that one.",3/4
112," May 20, 2005"," Oh, the relief to reach the conclusion of Star Wars Episode III, not because George Lucas has brought home the franchise safe and sound but because I know I will never have to sit through another minute of this turgid, subliterate spaceballs again.",1/5
113," May 20, 2005"," If you've seen the others, you'll want to see this one. Let's face it -- there's no turning back.",B
114," May 20, 2005", Anakin switches teams and the force avoids becoming farce in Lucas' swan-song.,
115," May 20, 2005"," Growing up Star Wars is like growing up Catholic- no matter how bitter you might become, ya can't shake it. Last week I bought CHEEZ-ITs because R2-D2 was on the box.",
116," May 20, 2005", Like the most heavily-effects-budgeted shoulder shrug in history.,
117," May 20, 2005"," No magic, little light, but an awful lot of heavy industry.",1/5
118," May 20, 2005"," Everything that has a beginning has a middle - and while this centerpiece to the Star Wars saga may indeed be middling, it still beats Return of the Jedi anyday.",
119," May 19, 2005", Redeems some of the luster lost from the previous two installments.,B+
120," May 19, 2005"," A glorious, perversely satisfying conclusion to a labor of love ... and a grand entertainment in its own right.",4/4
121," May 19, 2005"," There's some sadness knowing that the Star Wars pictures are done. However, I get intense pleasure knowing that the series concludes on the highest of high notes.",4/4
122," May 19, 2005"," If the final scenes -- and especially the very last shot -- stir nothing within you, chances are you didn't like Star Wars that much to begin with.",
123," May 19, 2005", The Force will undoubtedly be with us -- and the movie world -- for good... ,4.5/5
124," May 19, 2005"," There is nothing fun about Sith, except maybe the opening space battle, and it's not so much an adventure as an ordeal.",2.5/5
125," May 19, 2005"," Revenge of the Sith is the darkest, most tragic film in the series. It is also the finest since The Empire Strikes Back.",
126," May 19, 2005"," Way-neato Sith is, but its screenplay's logic I understand not.",
127," May 19, 2005"," ""Hey, you got politics all over my mythology!"" ""No, you got mythology all over my politics!"" Guess what? You can have both!",4/5
128," May 19, 2005", It turns out I'm still afraid of the Dark Side.,4/4
129," May 19, 2005"," There's precious little of the wonder and charm of the original Stars Wars films in this big, loud, and mostly empty spectacle.",2/4
130," May 19, 2005"," When the aim is pure visual spectacle, the results are brilliantly exciting. When the aim is heart-touching drama, though, the movie falls apart.",B
131," May 19, 2005", It's revenge of the Star Wars fan.,B+
132," May 19, 2005", Flat performances and even flatter dialogue give the final Star Wars prequel a hollow ring. ,
133," May 19, 2005"," The lurid attraction of Revenge of the Sith stems from its utter predictability, from our knowledge that this is the payoff for which five earlier films over 28 years were but one elaborate Greek chorus.",
134," May 19, 2005", Be still our little saber-loving hearts! It's here...,4/4
135," May 19, 2005"," It's the only new prequel that doesn't feel like robots were behind the camera, and the most thrilling, enthralling and tragic episode since Empire. ",3.5/4
136," May 19, 2005"," If you can use Jedi mind tricks to gloss over the trite dialogue and stiff acting, Revenge of the Sith is going to give you the big payoff you've been waiting for.",3/4
137," May 19, 2005"," The Force will be with us always -- and, after seeing Revenge of the Sith, you'll once again remember why.",A
138," May 19, 2005"," I got frustrated with the high cheesy factor (disappointed in the acting I was), but I never got bored.",3.5/5
139," May 19, 2005"," Star Wars: Episode III - Revenge of the Sith is the movie we've been waiting for, the movie that should have been made all along.",3.5/4
140," May 19, 2005"," For once, the words 'A long time ago in a galaxy far, far away' seem ironic, and it's hard to watch what follows without drawing comparisons to our own political landscape.",'3.5/4'
141," May 19, 2005"," Limbs are lost, people die, destruction is widespread, and evil reigns... all this violence is courtesy a mere PG-13 rating (thanks, MPAA!)",3.5/4.0
142," May 19, 2005", Got Wood? Christensen's stiff acting almost sink this digital ship. The last hour is absolutely brilliant.,A-
143," May 19, 2005"," This one is definitely the best of the three. Fear not, fans. Lucas came through in the clutch.",8/10
144," May 19, 2005"," It's meatier and more daring than [the first two prequels], and earns its place alongside the original Star Wars and The Empire Strikes Back.",3.5/4
145," May 19, 2005"," Lucas' attempted apolitical veneer only underlines the point: wars are political, even in movies.",
146," May 19, 2005", Too bad George Lucas was trying to write a tragedy and not a farce.,3/5
147," May 19, 2005"," While it does carry some of the flaws of the first two episodes, it thankfully lives up to its promise to be the darkest film in the series.",3/4
148," May 19, 2005"," Lucas should be barred from touching a typewriter, but, based on his work here, I'd like to see him encouraged to shoot as many fight scenes as possible.",
149," May 19, 2005"," An ideal, convincing finale for this franchise.",3/4
150," May 19, 2005"," Lucas' vision has matured, along with his digital special-effects tools. Lucky for us that the Force was often with him on this one.",3/4
151," May 19, 2005"," You may walk away sad, or even depressed, but it's nothing that a Darth Vader Slurpee can't cheer up.",
152," May 19, 2005", ...falls down in the one area that it can't afford to - making us feel something at the moment Anakin goes to the Dark Side.,
153," May 19, 2005", The circle is now complete.,4.5/5
154," May 18, 2005"," Almost exactly what it needs to be, a powerful middle film to end one trilogy and presage another.",B+
155," May 18, 2005"," A slam-bang summer blockbuster. Completes, deepens, and enriches the series beyond the pop-cultural phenomenon it has long-since made for itself.",3/4
156," May 18, 2005"," Acquits the recent stinkiness of the series pretty well. I know, high praise indeed. But consider this - I knew what was going to happen, and I still cared.",4/5
157," May 18, 2005", Should satisfy all the fans and breed new ones. The Force is strong in this one.,3.5/4
158," May 18, 2005"," Beautifully choreographed, loud, furious and rib-shaking donnybrooks that are weaved of the long-gestating daydreams of fans.",4/4
159," May 18, 2005"," Remarkably, Lucas solicits even worse performances than in pictures past; the Mace Windu-Palpatine confrontation ranks amongst the worst acted scenes I've ever seen.",
160," May 18, 2005", The only disappointment - Natalie Portman does not wear the Princess Leia gold bikini.,5/4
161," May 18, 2005"," Revenge of the Sith is so good, it almost redeems Episode I... Almost.",5/5
162," May 18, 2005", Not only a perfect bridge to the original trilogy but will draw favorable comparisons to the fabled excellence of The Empire Strikes Back.,4/4
163," May 18, 2005"," George Lucas is much more interested in the reflection of some planet's third moon on a window than in the other reasons people go to movies, like acting and script.",B
164," May 18, 2005"," The film is pretty much wall-to-wall action, with little of the filibusters about trade unions that made Phantom Menace and Clones so irritating.",3/4
165," May 18, 2005"," Nostalgie et gravité aidant, La Revanche des Sith offre certainement quelques séquences d'anthologie et même certains moments d'émotion palpable.",3.5/5
166," May 18, 2005"," Just when you thought it was safe to ridicule everything Star Wars, Lucas returns from his flirtation with the Dark Side by crafting a terrific caper to his monumental series.",3/4
167," May 18, 2005"," A dark, dramatic, action-packed climax to the trilogy of prequels that's almost good enough to make you forgive The Phantom Menace. Almost.",4/5
168," May 18, 2005"," Like the other two so-called 'prequels', this one still doesn't feel like a Star Wars movie . . .",
169," May 18, 2005"," At its best, Revenge of the Sith reaches that plateau where pop is art.",4/4
170," May 18, 2005"," A film that never wields the dramatic impact its plot should demand, and never realises the emotional potential at its dark heart.",3/5
171," May 18, 2005"," If only this had gotten out of the starting gate a little quicker, it would be an unqualified success.",2.5/4
172," May 18, 2005"," Episode III suffers from some of the same shortcomings... that its two recent predecessors did, only this time... far less...",3/4
173," May 18, 2005"," While Lord Lucas has failed to solve the problems that he has demonstrated throughout the sextet, he also has commandingly summited the zenith of what he is good at.",3.5/5
174," May 18, 2005", Revenge of the Sith might be tolerable if it weren't designed to be taken seriously.,
175," May 18, 2005"," Otherwise known as I Was a Teenage Darth Vader, Star Wars III is dull, puerile and underwritten, not that it will matter to its lemming-like legion of fans.",
176," May 18, 2005"," For fans it will be nirvana, and for everyone else a welcome relief.",3/4
177," May 18, 2005"," 'Triumphant' is the word I'd use for Sith, particularly for its superb light-saber battles, which rediscover the sheer joy and physicality missing in Star Wars since Han Solo's heyday.",3.5/4
178," May 18, 2005"," Revenge of the Sith is a brilliant consummation to a promise made a long time ago, far, far away, in a galaxy called 1977.",
179," May 18, 2005"," Revenge of the Sith, though, stands apart from its inert, tech-obsessed predecessors. It feels, at last, like the work of a man with a story to tell.",
180," May 18, 2005"," Watching Revenge of the Sith, it's hard not to wonder if Lucas even knows how good a movie he almost made.",2.5/4
181," May 18, 2005"," The darkest, most operatic, and technologically richest Star Wars movie to date, Sith is grim, stirring entertainment and a nearly complete vindication.",
182," May 18, 2005", The movie grabs us from its heart-pounding opening sequence and pulls us inexorably along its trajectory with the grip of the last gruesome act of a Greek tragedy.,A
183," May 18, 2005", Compared to the dog-fight in Star Wars this is like playing Halo instead of Pac Man.,4/5
184," May 18, 2005"," George Lucas had lost his way for many years, gone to filmmaking's dark side. But now he's mustered up completely unexpected reserve for a last-minute redemption.",3.5/4
185," May 18, 2005"," Though flawed, Episode III never betrays the Star Wars legacy.",3/4
186," May 18, 2005"," Even if this movie is short of perfection, it makes Star Wars complete.",3.5/5
187," May 18, 2005"," Ultimately, Revenge of the Sith resonates with surprising emotional power and an undeniable sense of finality.",10/10
188," May 18, 2005", The finale feels less the inevitable conclusion of some great saga than the predictable mooing of a reliable cash cow.,2.5/4
189," May 18, 2005", Revenge of the Sith overcomes its dime-store dialogue and less than convincing performances through the sheer force of its director's vision.,3/4
190," May 18, 2005", It's better than Episode I and not quite as good as Episode II. What it isn't is a lot of fun.,3/5
191," May 18, 2005"," More than a first-rate wrap-up job, it stands on its own as a dazzling piece of showmanship.",A-
192," May 18, 2005", Revenge of the Sith completes the big picture and will undoubtedly find favor with a majority of fans. But it isn't a very good movie.,
193," May 18, 2005"," Revenge of the Sith is more of the same: wildly flamboyant effects serving weak characters, bad acting and obtuse plotting.",2.5/4
194," May 18, 2005"," Man: 'You're so beautiful.' Woman: 'It's only because I'm so in love.' Man: 'No, it's because I'm so in love with you.' Me: 'Man oh man.'",2/4
195," May 18, 2005", George Lucas makes it easy to experience Star Wars: Episode III -- Revenge of the Sith as a rush of deliverance -- even if the movie itself doesn't fully deliver.,B-
196," May 18, 2005"," Restore your faith in the Force, this will.",B+
197," May 18, 2005", It's good. I mean really good.,3.5/4
198," May 18, 2005", Lucas ha cumplido la profecía: ha traído el equilibrio a la Fuerza.,5/5
199," May 18, 2005", Call it the saga's 'Darth nadir.' Lucas's greatest success in Sith is this: We can't help but sympathize with Anakin as he surrenders to the Dark Side.,3/4
200," May 18, 2005"," I'm still not totally convinced that this is the result of good filmmaking, so much as it simply makes viewers nostalgic for the original trilogy.",7/10
201," May 18, 2005", It's all about seeing the story lines of the sloppy prequels finally tie together with the original films. [F]ans will enjoy [watching] everything fall neatly into place. ,3/5
202," May 18, 2005"," It's all kind of like comfort food as Episode 3 finally brings you back 'to a galaxy far, far away' that we first met nearly three decades ago.",B-
203," May 18, 2005", ...writer/director George Lucas has been promising a darker film and Hayden Christensen's critical vindication. He delivers on the first promise.,B
204," May 18, 2005", A satisfying finale... a happy payoff for fans who found Phantom Menace and the first half of Attack of the Clones to be plodding exposition.,
205," May 18, 2005"," Technically magnificent but dramatically inert, it's a lumberingly predictable finale to the space saga that peaked in 1980 and has been going downhill ever since.",C
206," May 18, 2005", A great film in spite of itself.,3.5/4
207," May 17, 2005"," The good George Lucas usually wins out, even if the story focuses on the Dark Side of the Force.",4/5
208," May 17, 2005"," Precisely what this passionate SW geek wanted: a bit less soapy dialogue, a lot more action, and a stunningly strong infusion of drama, emotion, and tragedy.",4.5/5
209," May 17, 2005"," I cried for two reasons. First, because, after nearly 30 years, it's finished. Yes, the series will be out in 3-D. But this is the finale of what George Lucas began in 1977.",4/4
210," May 17, 2005"," Lacking in dramatic punch, animated only by mind-numbing action sequences and endless light-saber fights.",2/5
211," May 17, 2005", What a shock when George Lucas finds his footing and the saga once again takes hold.,
212," May 17, 2005"," It provides fun and closure, wrapping up the saga's many narrative strings in an entertaining finale.",3/4
213," May 17, 2005"," Despite all of its impressive slam-bang, almost wall-to-wall action and awe-inspiring special effects, Episode III, though head and shoulders above the other prequels, is crippled by poor scripting and logic.",3.5/5
214," May 17, 2005", Same logo. Same starry-night spacescape. Same music. Same crawl. Same everything. Only different. And so much better.,A-
215," May 17, 2005"," Revenge of the Sith is both unspeakably brilliant and kind of OK, depending on where you're coming from.",2.5/4
216," May 17, 2005"," An engaging sense of closure to a tale that has captivated more than one generation, and one that has made cinematic history",
217," May 17, 2005"," [T]here is a haunting, disconcerting bittersweetness to the film that is impossible to shake. It's a particularly GenX response, I suspect...",
218," May 17, 2005", We are all preprogrammed in one way or another to want Episode III -- Revenge of the Sith to climax in the way it does. All George had to do was not screw that up. He didn't.,
219," May 17, 2005"," Heretical though it sounds, [Sith] may come closest of all the films to achieving the balance between gee-whiz sci-fi spectacle and mythic resonance to which Lucas aspired.",3.5/5
220," May 17, 2005"," For many, the Sith finale will redeem all three prequels. Others will wonder why Lucas wasted so many dollars, years and pixels on a story that could have been told in one film, or better yet, not at all.",2.5/4
221," May 17, 2005", Lucas still can't write. His dialogue crashes and burns like an X-wing zapped out of the sky by a star destroyer.,2/4
222," May 17, 2005"," Star Wars, for better or worse, was the genuine article. How then can there not be a relevance, and a resonance, in saying goodbye?",3/4
223," May 17, 2005", To say that Revenge of the Sith is a vast improvement is not extravagant praise -- but neither is it any kind of putdown.,3/4
224," May 17, 2005", All those who wondered whether writer-director George Lucas was going to end his sci-fi career in a downward tailspin can rest easy.,B
225," May 17, 2005"," My favorite of the three most recent Star Wars movies, Revenge of the Sith mixes all of the best elements from its predecessors.",9/10
226," May 17, 2005"," Sith takes a while to sink in, but once you get used to its rhythm, it provides the most satisfying Star Wars adventure of the last 20 years.",A
227," May 16, 2005"," While Sith is mostly enjoyable, the best part about it is that we are finally done with the journey.",B
228," May 16, 2005"," Star Wars, people, is back.",4/5
229," May 16, 2005"," Revenge of the Sith is the most energetic of the prequels, the only one at all worth watching. But that doesn't mean it is without the weaknesses that scuttled its pair of predecessors.",
230," May 16, 2005"," It's the darkest of the six-film opus, but it just may be the best of the lot.",3.5/4
231," May 16, 2005"," Though it starts slowly, it lumbers toward greatness in the last third and restores him briefly to the top of his class.",2.5/4
232," May 16, 2005"," It took 22 years, but the Jedi has finally returned.",4.5/5
233," May 16, 2005", Sure to please diehard fans and fringe folk alike.,'3/4'
234," May 16, 2005", The Jedi faithful deserve far better than this.,2.5/4
235," May 16, 2005"," As he brings his beginning to an end, George Lucas finally produces a second-generation Star Wars adventure worthy of the originals. ",3/4
236," May 16, 2005", I think it's the best one since The Empire Strikes Back.,
237," May 16, 2005"," Crippled as he is by the decisions of the first two films, Lucas manages to invest the final chapter of his space opera with the grand operatic spirit of the original trilogy.",B+
238," May 16, 2005"," ...the dialogue is astonishingly feeble, the acting unforgivably wooden.",2.5/4
239," May 16, 2005"," The scariest, most exciting, most visually prodigious of the sextet, with action sequences that explode off the screen, characters who finally awaken your sentiments.",4/4
240," May 16, 2005", George Lucas has achieved what few artists do; he has created and populated a world of his own.,3.5/4
241," May 16, 2005", ... the visually stunning Sith is also the fastest-paced and most accessible.,3/4
242," May 16, 2005"," All those Star Wars geeks, who've been waiting for weeks outside movie theaters with their Yoda sleeping bags and their homemade lightsabers, finally have a film that's worthy of their perseverance.",
243," May 16, 2005"," Even with its pulpy excesses showing, Revenge of the Sith has a grandiose melancholy that will especially haunt those who have grown up revering the Skywalker chronicles. The rest of the audience may well be on its own.",2.5/4
244," May 16, 2005"," Lucas' pioneering work in computer-generated special effects has often gotten the better of him, but this time the action and the visual effects are splendid.",3/4
245," May 16, 2005", So much here is guaranteed to cause either offense or pain.,
246," May 16, 2005", Star Wars: Episode III - Revenge of the Sith ... is without doubt the best of the three most recent films. That's not exactly high praise...,2.5/4
247," May 15, 2005"," This is by far the best film in the more recent trilogy, and also the best of the four episodes Mr. Lucas has directed. That's right: it's better than Star Wars.",
248," May 14, 2005", Revenge Of The Sith is brilliant. It's as if it took Lucas two goes to get comfortable in the director's chair and can now actually apply a bit of style to the proceedings.,8/10
249," May 13, 2005"," Anakin's defection from Jediism to Sithdom should provide the film's backbone, but neither the script nor Christensen delivers the needed nuance.",
250," May 13, 2005", Oh my... it's neither spongeworthy nor Vader-riffic.,6.5/10
251," May 13, 2005"," Once the cogs are set in motion for the creation of Vader, & the Clone Wars start getting bloody, Sith commences to cook in a way that no movie has since Empire.",3.5/4
